# Converted from gridded data
   l    m 	C	Standard_Deviation
  25  -13  -0.01154543   0.00000000
  25  -12   0.00360615   0.00000000
  25  -11   0.00172922   0.00000000
  25  -10  -0.00484481   0.00000000
  25   -9   0.00506632   0.00000000
  25   -8  -0.01242207   0.00000000
  25   -7  -0.01007123   0.00000000
  25   -6  -0.00488786   0.00000000
  25   -5  -0.00317902   0.00000000
  25   -4   0.00684259   0.00000000
  25   -3  -0.00456345   0.00000000
  25   -2   0.00264325   0.00000000
  25   -1  -0.00011406   0.00000000
  25    0   0.00590529   0.00000000
  25    1   0.00167273   0.00000000
  25    2   0.00423693   0.00000000
  25    3  -0.00990804   0.00000000
  25    4   0.00093027   0.00000000
  25    5  -0.00321883   0.00000000
  25    6  -0.00178009   0.00000000
  25    7   0.00350579   0.00000000
  25    8   0.00518895   0.00000000
  25    9  -0.01007471   0.00000000
  25   10   0.00907146   0.00000000
  25   11   0.01355154   0.00000000
  25   12   0.00644492   0.00000000
  25   13  -0.00025585   0.00000000
  25   14  -0.00150945   0.00000000
  25   15  -0.00550505   0.00000000
  25   16  -0.00881481   0.00000000
  25   17  -0.01297058   0.00000000
  25   18  -0.00312723   0.00000000
  25   19   0.00022652   0.00000000
  25   20   0.00324888   0.00000000
  25   21  -0.00041071   0.00000000
  25   22   0.00984403   0.00000000
  25   23   0.00079718   0.00000000
  25   24   0.00184822   0.00000000
  25   25   0.00439952   0.00000000
  26  -26   0.00022302   0.00000000
  26  -25  -0.00451784   0.00000000
  26  -24   0.00272562   0.00000000
  26  -23   0.01166053   0.00000000
  26  -22  -0.00012965   0.00000000
  26  -21   0.01109307   0.00000000
  26  -20  -0.01517541   0.00000000
  26  -19  -0.00463818   0.00000000
  26  -18   0.00130404   0.00000000
  26  -17   0.00609295   0.00000000
  26  -16   0.00513967   0.00000000
  26  -15   0.00351197   0.00000000
  26  -14   0.00454251   0.00000000
  26  -13  -0.00139521   0.00000000
  26  -12   0.00039590   0.00000000
  26  -11  -0.01374868   0.00000000
  26  -10   0.01133401   0.00000000
  26   -9  -0.00759747   0.00000000
  26   -8  -0.00732371   0.00000000
  26   -7  -0.00380133   0.00000000
  26   -6  -0.00730739   0.00000000
  26   -5  -0.01319410   0.00000000
  26   -4  -0.00594620   0.00000000
  26   -3  -0.00146883   0.00000000
  26   -2   0.00267997   0.00000000
  26   -1   0.00119601   0.00000000
  26    0  -0.00319044   0.00000000
  26    1   0.00379912   0.00000000
  26    2   0.00485549   0.00000000
  26    3  -0.00123352   0.00000000
  26    4   0.00319276   0.00000000
  26    5   0.00722507   0.00000000
  26    6   0.00604093   0.00000000
  26    7   0.00360211   0.00000000
  26    8   0.00566116   0.00000000
  26    9   0.00045431   0.00000000
  26   10  -0.00354823   0.00000000
  26   11   0.00505312   0.00000000
  26   12  -0.00053957   0.00000000
  26   13  -0.00393843   0.00000000
  26   14   0.00259356   0.00000000
  26   15   0.00735891   0.00000000
  26   16  -0.00611264   0.00000000
  26   17  -0.00620573   0.00000000
  26   18  -0.00476546   0.00000000
  26   19   0.00946114   0.00000000
  26   20   0.01335147   0.00000000
  26   21  -0.00716664   0.00000000
  26   22  -0.00426401   0.00000000
  26   23  -0.00380551   0.00000000
  26   24   0.01061605   0.00000000
  26   25   0.00683902   0.00000000
  26   26  -0.00042116   0.00000000
  27  -27   0.00705814   0.00000000
  27  -26  -0.00537832   0.00000000
  27  -25  -0.00057029   0.00000000
  27  -24  -0.00487724   0.00000000
  27  -23  -0.00144852   0.00000000
  27  -22  -0.00834423   0.00000000
  27  -21  -0.00264343   0.00000000
  27  -20   0.00757839   0.00000000
  27  -19  -0.00563877   0.00000000
  27  -18   0.00007760   0.00000000
  27  -17   0.00023777   0.00000000
  27  -16   0.01231002   0.00000000
  27  -15   0.01051790   0.00000000
  27  -14   0.00734359   0.00000000
  27  -13   0.01161285   0.00000000
  27  -12  -0.00558314   0.00000000
  27  -11  -0.00157322   0.00000000
  27  -10   0.01231654   0.00000000
  27   -9  -0.00371456   0.00000000
  27   -8   0.00061315   0.00000000
  27   -7  -0.00407798   0.00000000
  27   -6   0.00327249   0.00000000
  27   -5  -0.00327349   0.00000000
  27   -4   0.01151414   0.00000000
  27   -3  -0.00115954   0.00000000
  27   -2  -0.00794381   0.00000000
  27   -1  -0.00560869   0.00000000
  27    0   0.00116967   0.00000000
  27    1   0.00290522   0.00000000
  27    2  -0.00253792   0.00000000
  27    3   0.00623448   0.00000000
  27    4  -0.00304948   0.00000000
  27    5   0.01281926   0.00000000
  27    6   0.00024209   0.00000000
  27    7   0.00085841   0.00000000
  27    8  -0.00033129   0.00000000
  27    9   0.00086802   0.00000000
  27   10   0.00801024   0.00000000
  27   11  -0.00246576   0.00000000
